objectid,shape,arc_street,facility,addresstyp,zipcode,adhc,type_certb,certbeds,type_licbe,licbeds,location,phone_no,contact,contact_ti,license_no,provider_n,town
23,"(21.329652862000046, -157.86094790599998)",1027 Hala Dr.,MALUHIA,1027 Hala Dr.,96817,Y,SNF/NF,158,SNF/ICF,158,Oahu,(808) 832-3000,Jay C. Duquette,Administrator,18-N,125009,Honolulu
24,"(21.296826167000063, -157.78545872799998)",5113 Maunalani Circle,MAUNALANI NURSING AND REHABILITATION CENTER,5113 Maunalani Circle,96816,,"SNF/DP, SNF/NF","13, 87",SNF/IF,100,Oahu,(808) 732-0771,Sai Chantavy,Executive Director,5-N,125013,Honolulu
25,"(21.336133363000044, -157.83974077199997)",2900 Pali Hwy.,NUUANU HALE,2900 Pali Hwy.,96817,,SNF/NF,75,SNF/ICF,75,Oahu,(808) 595-6311,"Gayle Lau, NHA",Administrator,22-N,125024,Honolulu
26,"(21.297483741000065, -157.83182038299998)",1808 South Beretania S,OAHU CARE FACILITY,1808 South Beretania S,96826,,SNF/NF,82,SNF/ICF,82,Oahu,(808) 973-1900,Randall Ito,Administrator,48-N,125042,Honolulu
27,"(21.303544988000056, -157.78800876099996)",2459 10TH Ave.,PALOLO CHINESE HOME,2459 10TH Ave.,96816,,,,SNF/ICF,15,Oahu,(808) 737-2555,"Darlene H. Nakayama, RN",Administrator,70-N,,Honolulu
28,"(21.391652329000067, -157.97114438599996)",919 Lehua Ave.,PEARL CITY NURSING HOME,919 Lehua Ave.,96782,,SNF/NF,122,SNF/ICF,122,Oahu,(808) 453-1919,Bernadette Ledesma,Administrator,49-N,125043,Honolulu
29,"(21.307755929000052, -157.85511001299997)",1301 Punchbowl St.,QUEENS MEDICAL CENTER - PCU,1301 Punchbowl St.,96813,,SNF/NF,28,SNF,28,Oahu,(808) 537-7672,"Bernadette L. Merlino, EMM",Designated LTC Administrator,31-N,125037,Honolulu
30,"(21.321258989000057, -157.85524723899997)",226 North Kuakini St.,REHABILITATION HOSPITAL OF THE PACIFIC,226 North Kuakini St.,96817,,,,SNF,20,Oahu,(808) 531-3511,Stuart T. K. Ho,President & CEO,72-N,,Honolulu
31,"(21.328528085000073, -157.85191902899996)",2230 Liliha St.,ST. FRANCIS MEDICAL CENTER,2230 Liliha St.,96817,,SNF/NF,52,SNF/ICF,52,Oahu,(808) 547-6011,Cathy Tanaka,Administrator,46-N,125025,Honolulu
32,"(21.49834342200006, -158.02713349799998)",128 Lehua St.,WAHIAWA GENERAL HOSPITAL,128 Lehua St.,96786,,SNF/NF,103,SNF/ICF,103,Oahu,(808) 621-4211,"John D. Julius, M.H.A, C.H",Interim Chief Executive Office,37-N,125015,Wahiawa
33,"(21.986145537000027, -159.36506465199997)",3420 Kuhio Hwy.,GARDEN ISLE HEALTHCARE,3420 Kuhio Hwy.,96766,,SNF/NF,110,SNF/ICF,110,Kauai,(808)245-1802,Debra Hughes,Administrator,68-N,125004,Lihue
34,"(21.926218310000024, -159.48656226099996)",4297 A Omao Rd.,"HALE KUPUNA HERITAGE HOME, LLC",4297-A Omao Rd.,96765,,NF,84,SNF/ICF,84,Kauai,(808)742-7591,Cynthia Clevenger,Administrator,61-N,1.20E+31,Lawai
35,"(21.95847228200006, -159.67114951899998)",9611 Waena Rd.,KAUAI CARE CENTER,9611 Waena Rd.,96796,,NF,38,SNF/ICF,38,Kauai,(808)338-1297,Liza Trinidad,Administrator,51-N,1.20E+35,Waimea
36,"(21.96093306000006, -159.67122850099997)",4643 Waimea Canyon Dr.,KAUAI VETERANS MEMORIAL HOSPITAL,4643 Waimea Cyn. Dr.,96796,,SNF/NF,20,SNF/ICF,20,Kauai,(808)338-9431,Orianna Skomoroch,Chief Executive Officer,39-N,125021,Waimea
37,"(22.085153587000036, -159.31284507099997)",4800 Kawaihau Rd.,SAMUEL MAHELONA MEMORIAL HOSPITAL,4800 Kawaihau Rd.,96746,,SNF/NF,70,SNF/ICF,70,Kauai,(808)822-4961,Janice Llewellyn Wynne,Asst. Administrator,27-N,125029,Kapaa
38,"(19.71693737800007, -155.11519526799998)",1333 Waianuenue Ave.,HALE ANUENUE RESTORATIVE CARE CENTER,1333 Waianuenue Ave.,96720,,SNF/NF,120,SNF/ICF,120,Hawaii,(808)961-6644,Ivan S. Yamamoto,Executive Director,52-N,125045,Hilo
39,"(19.718054210000048, -155.11302734499998)",1190 Waianuenue Ave.,HILO MEDICAL CENTER,1190 Waianuenue Ave.,96720,,"SNF/NF,ICF",112,"SNF/DP, SNF",22,Hawaii,(808)974-4700,Ronald Schurra,Chief Executive Officer,44-N,125002,Hilo
40,"(19.19958860400004, -155.47183628399998)",1 Kamani St.,KAU HOSPITAL,1 Kamani St.,96777,Y,SNF/NF,16,SNF/ICF,16,Hawaii,(808)928-8331,Merilyn Harris,Administrator,51-N,1.20E+35,Pahala
41,"(20.232499202000042, -155.79682839199998)",54-383 Hospital Rd.,KOHALA HOSPITAL,54-383 Hospital Rd.,96755,,SNF/NF,24,SNF/ICF,24,Hawaii,(808)889-6211,Jerry Walker,Acting CEO,26-N,125031,Kapaau
42,"(19.520262326000022, -155.91770466199998)",79-1019 Haukapila St.,KONA COMMUNITY HOSPITAL,79-1019 Haukapila St.,96750,,SNF/NF,34,SNF/ICF,34,Hawaii,(808)322-9311,Jerry Walker,Acting CEO,45-N,125027,Kealakekua
43,"(19.683175173000052, -155.09509218899998)",944 W. Kawailani St.,LIFE CARE CENTER OF HILO,944 W. Kawailani St.,96720,,SNF/NF,252,SNF/ICF,252,Hawaii,(808)959-9151,Fred Horwitz,Executive Director,33-N,125040,Hilo
44,"(19.57491217300003, -155.95845127099997)",78-6957 Kam III Rd.,LIFE CARE CENTER OF KONA,78-6957 Kam III Rd.,96740,,SNF/NF,94,SNF/ICF,94,Hawaii,(808)322-2790,Raymond H. Marks,Executive Director,47-N,125052,Kona
45,"(20.075980446000074, -155.47030731399997)",45-547 Plumeria St.,HALE HO'OLA HAMAKUA,45-547 Plumeria St.,96727,,SNF/NF,48,SNF/ICF,48,Hawaii,(808)775-7211,Romel Dela Cruz,Administrator,41-N,125032,Honokaa
46,"(20.880233415000077, -156.47675017899996)",472 Kaulana St.,HALE MAKUA (Kahului),472 Kaulana St.,96732,Y,SNF/NF,240,SNF/ICF,240,Maui,(808)877-2761,Tiffany Benton,Administrator,23-N,125007,Kahului
47,"(20.893180174000065, -156.49515356899997)",1540 E. Main St.,HALE MAKUA (Wailuku),1540 E. Main St.,96793,,NF,124,ICF,124,Maui,(808)243-1722,Cathy Uyehara,Administrator,12-N,1.20E+36,Wailuku
48,"(20.701230142000043, -156.35729947899998)",100 Keokea Pl.,KULA HOSPITAL,100 Keokea Pl.,96790,,SNF/NF,100,SNF/ICF,100,Maui,(808)878-1221,John Schaumburg,Administrator,35-N,125003,Kula
49,"(20.884969049000063, -156.48931922099996)",221 Mahalani St.,MAUI MEMORIAL MEDICAL CENTER,221 Mahalani St.,96793,,,,SNF,21,Maui,(808)242-2174,Wesley Lo,Interim Reg. Chief CEO,69-N,,Wailuku
50,"(21.094365096000047, -157.01760909699996)",280 Puali St..,MOLOKAI GENERAL HOSPITAL,280 Puali St.,96748,,SNF/NF,3,SNF/ICF,3,Molokai,(808)553-5331,Janice Kalanihuia,Chief Administrator,34-N,125034,Kaunakakai
51,"(19.718133223000052, -155.11196119299998)",,YUKIO OKUTSU STATE VETERANS HOME,1180 Waianuenue Ave.,96720,Y,,95,SNF/ICF,95,Hawaii,(808)961-1500,John Johnson,Administrator,,125058,Hilo
,,,,,,,,,,4018,,,,,,,
