CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City,State,Zip Code,County Name,Phone Number,CMS Region,Measure Code,Score,Footnote,Start Date,End Date,Location 1
330175,GUTHRIE CORTLAND REGIONAL MEDICAL CENTER,134 HOMER AVENUE,,CORTLAND,NY,13045,CORTLAND,(607) 756-3501,2,S_002_01_DENOMINATOR,16,13,07/01/2018,06/30/2019,"134 HOMER AVENUE CORTLAND, NY 13045 (42.608997, -76.186117)"
010126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,,TROY,AL,36081,PIKE,(334) 670-5000,4,S_005_01_DTC_RS_RATE_2_5,65.28,,10/01/2016,09/30/2018,"1330 HIGHWAY 231 SOUTH TROY, AL 36081 (31.780322, -85.945529)"
460030,ASHLEY REGIONAL MEDICAL CENTER,150 WEST 100 NORTH,,VERNAL,UT,84078,UINTAH,(435) 789-3342,8,S_004_01_PPR_PD_RSRR_2_5,Not Available,1,10/01/2016,09/30/2018,"150 WEST 100 NORTH VERNAL, UT 84078 (40.45779, -109.530464)"
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,,OZARK,AL,36360,DALE,(334) 774-2601,4,S_005_01_DTC_NUMBER,Not Available,9,10/01/2016,09/30/2018,"126 HOSPITAL AVE OZARK, AL 36360 (31.451345, -85.630966)"
390138,WAYNESBORO HOSPITAL,501 EAST MAIN ST,,WAYNESBORO,PA,17268,FRANKLIN,(717) 765-4000,3,S_001_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"501 EAST MAIN ST WAYNESBORO, PA 17268 (39.751806, -77.570581)"
180139,KENTUCKY RIVER MEDICAL CENTER,540 JETT DRIVE,,JACKSON,KY,41339,BREATHITT,(606) 666-6000,4,S_002_01_ADJ_RATE,Not Available,10,07/01/2018,06/30/2019,"540 JETT DRIVE JACKSON, KY 41339 (37.565434, -83.370111)"
190118,DESOTO REGIONAL HEALTH SYSTEM,207 JEFFERSON STREET,,MANSFIELD,LA,71052,DE SOTO,(318) 872-4610,6,S_004_01_PPR_PD_OBS,Not Available,1,10/01/2016,09/30/2018,"207 JEFFERSON STREET MANSFIELD, LA 71052 (32.035258, -93.709136)"
250085,MARION GENERAL HOSPITAL,1560 SUMRALL RD,,COLUMBIA,MS,39429,MARION,(601) 736-6303,4,S_005_01_DTC_NUMBER,210,,10/01/2016,09/30/2018,"1560 SUMRALL RD COLUMBIA, MS 39429 (31.256354, -89.806273)"
190088,SPRINGHILL MEDICAL CENTER,2001 DOCTORS DRIVE,,SPRINGHILL,LA,71075,WEBSTER,(318) 539-1000,6,S_005_01_DTC_NUMBER,22,,10/01/2016,09/30/2018,"2001 DOCTORS DRIVE SPRINGHILL, LA 71075 (33.010622, -93.442839)"
520116,WATERTOWN REGIONAL MEDICAL CENTER,125 HOSPITAL DRIVE,,WATERTOWN,WI,53098,DODGE,(920) 261-4210,5,S_002_01_DENOMINATOR,2,13,07/01/2018,06/30/2019,"125 HOSPITAL DRIVE WATERTOWN, WI 53098 (43.199903, -88.699014)"
370089,NORTHEASTERN HEALTH SYSTEM,1400 EAST DOWNING STREET,,TAHLEQUAH,OK,74465,CHEROKEE,(918) 456-0641,6,S_005_01_DTC_COMP_PERF,Not Available,1,10/01/2016,09/30/2018,"1400 EAST DOWNING STREET TAHLEQUAH, OK 74465 (35.915326, -94.950558)"
440068,STARR REGIONAL MEDICAL CENTER ATHENS,1114 W MADISON AVE,,ATHENS,TN,37371,MCMINN,(423) 745-1411,4,S_004_01_PPR_PD_OBS_READM,Not Available,1,10/01/2016,09/30/2018,"1114 W MADISON AVE ATHENS, TN 37371 (35.440789, -84.608823)"
450369,CHILDRESS REGIONAL MEDICAL CENTER,HWY 83 NORTH,,CHILDRESS,TX,79201,CHILDRESS,(940) 937-6371,6,S_001_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,
100142,JACKSON HOSPITAL,4250 HOSPITAL DR,,MARIANNA,FL,32446,JACKSON,(850) 526-2200,4,S_004_01_PPR_PD_RSRR_97_5,Not Available,9,10/01/2016,09/30/2018,"4250 HOSPITAL DR MARIANNA, FL 32446 (30.78748, -85.240932)"
270032,NORTHERN MONTANA HOSPITAL,30 13TH ST,,HAVRE,MT,59501,HILL,(406) 265-2211,8,S_002_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"30 13TH ST HAVRE, MT 59501 (48.539326, -109.686363)"
110189,FANNIN REGIONAL HOSPITAL,2855 OLD HIGHWAY 5 NORTH,,BLUE RIDGE,GA,30513,FANNIN,(706) 632-3711,4,S_001_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"2855 OLD HIGHWAY 5 NORTH BLUE RIDGE, GA 30513 (34.916923, -84.375509)"
450747,PALESTINE REGIONAL MEDICAL CENTER,2900 S LOOP 256,,PALESTINE,TX,75801,ANDERSON,(903) 731-1000,6,S_002_01_NUMERATOR,Not Available,10,07/01/2018,06/30/2019,"2900 S LOOP 256 PALESTINE, TX 75801 (31.733374, -95.625307)"
330096,JONES MEMORIAL HOSPITAL,191 NORTH MAIN STREET,,WELLSVILLE,NY,14895,ALLEGANY,(585) 593-1100,2,S_013_01_DENOMINATOR,30,,07/01/2018,06/30/2019,"191 NORTH MAIN STREET WELLSVILLE, NY 14895 (42.122878, -77.949784)"
190007,NATCHITOCHES REGIONAL MEDICAL CENTER,501 KEYSER AVE,,NATCHITOCHES,LA,71457,NATCHITOCHES,(318) 471-2628,6,S_002_01_ADJ_RATE,Not Available,"9,13",07/01/2018,06/30/2019,"501 KEYSER AVE NATCHITOCHES, LA 71457 (31.753563, -93.079253)"
040051,DREW MEMORIAL HOSPITAL,778 SCOGIN DRIVE,,MONTICELLO,AR,71655,DREW,(870) 367-2411,6,S_005_01_DTC_RS_RATE _97_5,86.56,,10/01/2016,09/30/2018,"778 SCOGIN DRIVE MONTICELLO, AR 71655 (33.610628, -91.814978)"
050352,BARTON MEMORIAL HOSPITAL,2170 SOUTH AVENUE,,SOUTH LAKE TAHOE,CA,96150,EL DORADO,(530) 541-3420,9,S_002_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"2170 SOUTH AVENUE SOUTH LAKE TAHOE, CA 96150 (38.912337, -119.997711)"
190025,SAVOY MEDICAL CENTER,801 POINCIANA AVENUE,,MAMOU,LA,70554,EVANGELINE,(337) 468-5261,6,S_005_01_DTC_COMP_PERF,Not Available,1,10/01/2016,09/30/2018,"801 POINCIANA AVENUE MAMOU, LA 70554 (30.641032, -92.417605)"
190090,WINN PARISH MEDICAL CENTER,301 W BOUNDARY AVE,,WINNFIELD,LA,71483,WINN,(318) 648-3000,6,S_005_01_DTC_VOLUME,3,,10/01/2016,09/30/2018,"301 W BOUNDARY AVE WINNFIELD, LA 71483 (31.924979, -92.645139)"
370099,HILLCREST HOSPITAL CUSHING,1027 EAST CHERRY STREET,,CUSHING,OK,74023,PAYNE,(918) 225-2915,6,S_006_01_MSPB_NUMB,22,,10/01/2016,09/30/2018,"1027 EAST CHERRY STREET CUSHING, OK 74023 (35.978942, -96.757473)"
110111,UNIVERSITY HOSPITAL MCDUFFIE,2460 WASHINGTON ROAD,,THOMSON,GA,30824,MCDUFFIE,(706) 595-1411,4,S_004_01_PPR_PD_RSRR_2_5,5.47,,10/01/2016,09/30/2018,"2460 WASHINGTON ROAD THOMSON, GA 30824 (33.523226, -82.504478)"
250067,NORTH MISSISSIPPI MEDICAL CENTER-WEST POINT,150 MEDICAL CENTER DRIVE,,WEST POINT,MS,39773,CLAY,(662) 495-2300,4,S_006_01_MSPB_NUMB,162,,10/01/2016,09/30/2018,"150 MEDICAL CENTER DRIVE WEST POINT, MS 39773 (33.618616, -88.661549)"
520071,FORT MEMORIAL HOSPITAL,611 SHERMAN AVE E,,FORT ATKINSON,WI,53538,JEFFERSON,(920) 568-5000,5,S_001_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"611 SHERMAN AVE E FORT ATKINSON, WI 53538 (42.929969, -88.827933)"
370100,CHOCTAW MEMORIAL HOSPITAL,1405 EAST KIRK ROAD,,HUGO,OK,74743,CHOCTAW,(580) 317-9500,6,S_005_01_DTC_COMP_PERF,Not Available,1,10/01/2016,09/30/2018,"1405 EAST KIRK ROAD HUGO, OK 74743 (34.011638, -95.497022)"
360006,RIVERSIDE METHODIST HOSPITAL,3535 OLENTANGY RIVER RD,,COLUMBUS,OH,43214,FRANKLIN,(614) 566-5000,5,S_001_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"3535 OLENTANGY RIVER RD COLUMBUS, OH 43214 (40.031962, -83.031294)"
110089,"COFFEE REGIONAL MEDICAL CENTER, INC",1101 OCILLA ROAD,,DOUGLAS,GA,31533,COFFEE,(912) 383-5620,4,S_001_01_NUMERATOR,Not Available,"9,13",07/01/2018,06/30/2019,"1101 OCILLA ROAD DOUGLAS, GA 31533 (31.509589, -82.86346)"
450411,EASTLAND MEMORIAL HOSPITAL,304 S DAUGHERTY,,EASTLAND,TX,76448,EASTLAND,(254) 629-2601,6,S_002_01_NUMERATOR,0,,07/01/2018,06/30/2019,"304 S DAUGHERTY EASTLAND, TX 76448 (32.400439, -98.821636)"
192022,RUSTON REGIONAL SPECIALTY HOSPITAL,1401 EZELL STREET,,RUSTON,LA,71270,LINCOLN,(318) 251-3126,6,S_002_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"1401 EZELL STREET RUSTON, LA 71270 (32.513851, -92.632387)"
450539,COVENANT HOSPITAL PLAINVIEW,2601 DIMMITT RD,,PLAINVIEW,TX,79072,HALE,(806) 296-5531,6,S_001_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"2601 DIMMITT RD PLAINVIEW, TX 79072 (34.207214, -101.731626)"
150072,MEMORIAL HOSPITAL,1101 MICHIGAN AVE,,LOGANSPORT,IN,46947,CASS,(574) 753-7541,5,S_006_01_MSPB_SCORE,Not Available,1,10/01/2016,09/30/2018,"1101 MICHIGAN AVE LOGANSPORT, IN 46947 (40.762465, -86.361246)"
390184,HIGHLANDS HOSPITAL,401 EAST MURPHY AVENUE,,CONNELLSVILLE,PA,15425,FAYETTE,(724) 628-1500,3,S_005_01_DTC_COMP_PERF,Not Available,1,10/01/2016,09/30/2018,"401 EAST MURPHY AVENUE CONNELLSVILLE, PA 15425 (40.023373, -79.586216)"
160147,GRINNELL REGIONAL MEDICAL CENTER,210 FOURTH AVENUE,,GRINNELL,IA,50112,POWESHIEK,(641) 236-7511,7,S_002_01_OBS_RATE,Not Available,"9,13",07/01/2018,06/30/2019,"210 FOURTH AVENUE GRINNELL, IA 50112 (41.743278, -92.734728)"
050279,HI-DESERT MEDICAL CENTER,6601 WHITE FEATHER ROAD,,JOSHUA TREE,CA,92252,SAN BERNARDINO,(760) 366-3711,9,S_002_01_NUMERATOR,Not Available,10,07/01/2018,06/30/2019,"6601 WHITE FEATHER ROAD JOSHUA TREE, CA 92252 (34.132676, -116.276709)"
330175,GUTHRIE CORTLAND REGIONAL MEDICAL CENTER,134 HOMER AVENUE,,CORTLAND,NY,13045,CORTLAND,(607) 756-3501,2,S_004_01_PPR_PD_OBS,21.88,,10/01/2016,09/30/2018,"134 HOMER AVENUE CORTLAND, NY 13045 (42.608997, -76.186117)"
050042,ST ELIZABETH COMMUNITY HOSPITAL,2550 SISTER MARY COLUMBA DRIVE,,RED BLUFF,CA,96080,TEHAMA,(530) 529-8012,9,S_005_01_DTC_OBS_RATE,Not Available,1,10/01/2016,09/30/2018,"2550 SISTER MARY COLUMBA DRIVE RED BLUFF, CA 96080 (40.148834, -122.218303)"
160147,GRINNELL REGIONAL MEDICAL CENTER,210 FOURTH AVENUE,,GRINNELL,IA,50112,POWESHIEK,(641) 236-7511,7,S_004_01_PPR_PD_RSRR_97_5,9.39,,10/01/2016,09/30/2018,"210 FOURTH AVENUE GRINNELL, IA 50112 (41.743278, -92.734728)"
110041,HABERSHAM COUNTY MEDICAL CTR,541 HISTORIC HIGHWAY 441-NORTH,,DEMOREST,GA,30535,HABERSHAM,(706) 754-2161,4,S_013_01_DENOMINATOR,8,13,07/01/2018,06/30/2019,"541 HISTORIC HIGHWAY 441-NORTH DEMOREST, GA 30535 (34.405879, -83.485989)"
340127,GRANVILLE HEALTH SYSTEMS,1010 COLLEGE ST,,OXFORD,NC,27565,GRANVILLE,(919) 690-3000,4,S_004_01_PPR_PD_COMP_PERF,Not Available,1,10/01/2016,09/30/2018,"1010 COLLEGE ST OXFORD, NC 27565 (36.326338, -78.594407)"
530032,EVANSTON REGIONAL HOSPITAL,190 ARROWHEAD DR,,EVANSTON,WY,82930,UINTA,(307) 789-3636,8,S_004_01_PPR_PD_OBS,Not Available,1,10/01/2016,09/30/2018,"190 ARROWHEAD DR EVANSTON, WY 82930 (41.242214, -110.991336)"
360197,MARY RUTAN HOSPITAL,205 PALMER AVENUE,,BELLEFONTAINE,OH,43311,LOGAN,(937) 599-7002,5,S_005_01_DTC_OBS_RATE,Not Available,1,10/01/2016,09/30/2018,"205 PALMER AVENUE BELLEFONTAINE, OH 43311 (40.368954, -83.756703)"
010169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,,ATMORE,AL,36502,ESCAMBIA,(251) 368-2500,4,S_002_01_ADJ_RATE,0.00,,07/01/2018,06/30/2019,"401 MEDICAL PARK DRIVE ATMORE, AL 36502 (31.01657, -87.479735)"
250085,MARION GENERAL HOSPITAL,1560 SUMRALL RD,,COLUMBIA,MS,39429,MARION,(601) 736-6303,4,S_004_01_PPR_PD_RSRR_97_5,10.98,,10/01/2016,09/30/2018,"1560 SUMRALL RD COLUMBIA, MS 39429 (31.256354, -89.806273)"
340107,VIDANT EDGECOMBE HOSPITAL,111 HOSPITAL DR,,TARBORO,NC,27886,EDGECOMBE,(252) 641-7700,4,S_004_01_PPR_PD_OBS,Not Available,1,10/01/2016,09/30/2018,"111 HOSPITAL DR TARBORO, NC 27886 (35.921885, -77.556994)"
170120,LABETTE HEALTH,1902 SOUTH US HWY 59,,PARSONS,KS,67357,LABETTE,(620) 421-4880,7,S_004_01_PPR_PD_OBS_READM,Not Available,1,10/01/2016,09/30/2018,"1902 SOUTH US HWY 59 PARSONS, KS 67357 (37.322012, -95.266593)"
260059,MERCY HOSPITAL LEBANON,100 HOSPITAL DRIVE,,LEBANON,MO,65536,LACLEDE,(417) 533-6100,7,S_005_01_DTC_VOLUME,0,,10/01/2016,09/30/2018,"100 HOSPITAL DRIVE LEBANON, MO 65536 (37.681437, -92.635875)"
450399,BROWNFIELD REGIONAL MEDICAL CENTER,705 EAST FELT STREET,,BROWNFIELD,TX,79316,TERRY,(806) 637-3551,6,S_006_01_MSPB_NUMB,11,,10/01/2016,09/30/2018,"705 EAST FELT STREET BROWNFIELD, TX 79316 (33.187102, -102.26775)"
170103,NEWTON MEDICAL CENTER,600 MEDICAL CENTER DRIVE,,NEWTON,KS,67114,HARVEY,(316) 283-2700,7,S_002_01_DENOMINATOR,4,13,07/01/2018,06/30/2019,"600 MEDICAL CENTER DRIVE NEWTON, KS 67114 (38.023034, -97.33654)"
160001,UNITYPOINT HEALTH-MARSHALLTOWN,3 S 4TH AVE,,MARSHALLTOWN,IA,50158,MARSHALL,(641) 754-5151,7,S_004_01_PPR_PD_OBS_READM,Not Available,1,10/01/2016,09/30/2018,"3 S 4TH AVE MARSHALLTOWN, IA 50158 (42.04805, -92.905914)"
060013,MERCY REGIONAL MEDICAL CENTER,1010 THREE SPRINGS BLVD,,DURANGO,CO,81301,LA PLATA,(970) 247-4311,8,S_013_01_NUMERATOR,Not Available,10,07/01/2018,06/30/2019,"1010 THREE SPRINGS BLVD DURANGO, CO 81301 (37.235054, -107.824841)"
180149,T J HEALTH COLUMBIA,901 WESTLAKE DRIVE,,COLUMBIA,KY,42728,ADAIR,(270) 384-4753,4,S_004_01_PPR_PD_RSRR_2_5,Not Available,1,10/01/2016,09/30/2018,"901 WESTLAKE DRIVE COLUMBIA, KY 42728 (37.096289, -85.29494)"
430048,REGIONAL HEALTH SPEARFISH HOSPITAL,1440 N MAIN ST,,SPEARFISH,SD,57783,LAWRENCE,(605) 644-4000,8,S_001_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"1440 N MAIN ST SPEARFISH, SD 57783 (44.497887, -103.861136)"
040067,MAGNOLIA HOSPITAL,101 HOSPITAL DRIVE,,MAGNOLIA,AR,71754,COLUMBIA,(870) 235-3000,6,S_004_01_PPR_PD_VOLUME,62,,10/01/2016,09/30/2018,"101 HOSPITAL DRIVE MAGNOLIA, AR 71754 (33.275123, -93.240071)"
520076,MARSHFIELD MEDICAL CENTER - BEAVER DAM,707 S UNIVERSITY AVE,,BEAVER DAM,WI,53916,DODGE,(920) 887-7181,5,S_004_01_PPR_PD_RSRR,Not Available,1,10/01/2016,09/30/2018,"707 S UNIVERSITY AVE BEAVER DAM, WI 53916 (43.448477, -88.828197)"
390072,BERWICK HOSPITAL CENTER,701 EAST 16TH STREET,,BERWICK,PA,18603,COLUMBIA,(570) 759-5020,3,S_002_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"701 EAST 16TH STREET BERWICK, PA 18603 (41.070159, -76.230804)"
450573,CHRISTUS JASPER MEMORIAL HOSPITAL,1275 MARVIN HANCOCK DRIVE,,JASPER,TX,75951,JASPER,(409) 384-5461,6,S_013_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"1275 MARVIN HANCOCK DRIVE JASPER, TX 75951 (30.907639, -94.008533)"
050417,SUTTER COAST HOSPITAL,800 E WASHINGTON BLVD,,CRESCENT CITY,CA,95531,DEL NORTE,(707) 464-8880,9,S_002_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"800 E WASHINGTON BLVD CRESCENT CITY, CA 95531 (41.772698, -124.194144)"
470003,UNIVERSITY OF VERMONT MEDICAL CENTER,111 COLCHESTER AVE,,BURLINGTON,VT,05401,CHITTENDEN,(802) 847-0000,1,S_006_01_MSPB_NUMB,0,,10/01/2016,09/30/2018,"111 COLCHESTER AVE BURLINGTON, VT 05401 (44.480991, -73.195518)"
100106,DOCTORS MEMORIAL HOSPITAL INC,333 N BYRON BUTLER PKWY,,PERRY,FL,32348,TAYLOR,(850) 584-0800,4,S_004_01_PPR_PD_RSRR_2_5,Not Available,1,10/01/2016,09/30/2018,"333 N BYRON BUTLER PKWY PERRY, FL 32348 (30.121128, -83.592009)"
240187,HUTCHINSON HEALTH,1095 HIGHWAY 15 SOUTH,,HUTCHINSON,MN,55350,MCLEOD,(320) 234-5000,5,S_006_01_MSPB_NUMB,0,,10/01/2016,09/30/2018,"1095 HIGHWAY 15 SOUTH HUTCHINSON, MN 55350 (44.875105, -94.375533)"
190013,WEST CALCASIEU CAMERON HOSPITAL,701 EAST CYPRESS STREET,,SULPHUR,LA,70663,CALCASIEU,(337) 527-7034,6,S_013_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"701 EAST CYPRESS STREET SULPHUR, LA 70663 (30.231074, -93.36929)"
450584,WILBARGER GENERAL HOSPITAL,920 HILLCREST DR,,VERNON,TX,76384,WILBARGER,(940) 552-9351,6,S_013_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"920 HILLCREST DR VERNON, TX 76384 (34.159419, -99.31333)"
360047,PIKE COUNTY HOSPITAL,DAWN LANE,,WAVERLY,OH,45690,PIKE,(614) 947-2186,5,S_001_01_NUMERATOR,Not Available,10,07/01/2018,06/30/2019,
150146,PARKVIEW NOBLE HOSPITAL,401 SAWYER RD,,KENDALLVILLE,IN,46755,NOBLE,(260) 347-8700,5,S_005_01_DTC_VOLUME,0,,10/01/2016,09/30/2018,"401 SAWYER RD KENDALLVILLE, IN 46755 (41.448459, -85.29478)"
040085,HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING JR DRIVE,,HELENA,AR,72342,PHILLIPS,(870) 338-5800,6,S_013_01_NUMERATOR,Not Available,10,07/01/2018,06/30/2019,"1801 MARTIN LUTHER KING JR DRIVE HELENA, AR 72342 (34.508357, -90.62733)"
520034,AURORA MEDICAL CTR MANITOWOC COUNTY,5000 MEMORIAL DRIVE,,TWO RIVERS,WI,54241,MANITOWOC,(920) 794-5000,5,S_004_01_PPR_PD_RSRR_2_5,Not Available,1,10/01/2016,09/30/2018,"5000 MEMORIAL DRIVE TWO RIVERS, WI 54241 (44.125862, -87.615137)"
250095,SOUTH SUNFLOWER COUNTY HOSPITAL,121 E BAKER ST,,INDIANOLA,MS,38751,SUNFLOWER,(662) 887-5235,4,S_005_01_DTC_NUMBER,98,,10/01/2016,09/30/2018,"121 E BAKER ST INDIANOLA, MS 38751 (33.457234, -90.65024)"
390084,SUNBURY COMMUNITY HOSPITAL,350 NORTH 11TH STREET,,SUNBURY,PA,17801,NORTHUMBERLAND,(570) 286-3333,3,S_004_01_PPR_PD_RSRR,Not Available,1,10/01/2016,09/30/2018,"350 NORTH 11TH STREET SUNBURY, PA 17801 (40.862243, -76.778268)"
180138,BAPTIST HEALTH LA GRANGE,1025 NEW MOODY LANE,,LA GRANGE,KY,40031,OLDHAM,(502) 222-5388,4,S_013_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"1025 NEW MOODY LANE LA GRANGE, KY 40031 (38.396238, -85.375927)"
230035,SPECTRUM HEALTH UNITED HOSPITAL,615 S BOWER STREET,,GREENVILLE,MI,48838,MONTCALM,(616) 754-4691,5,S_005_01_DTC_NUMBER,Not Available,1,10/01/2016,09/30/2018,"615 S BOWER STREET GREENVILLE, MI 48838 (43.175469, -85.268781)"
010126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,,TROY,AL,36081,PIKE,(334) 670-5000,4,S_001_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"1330 HIGHWAY 231 SOUTH TROY, AL 36081 (31.780322, -85.945529)"
460030,ASHLEY REGIONAL MEDICAL CENTER,150 WEST 100 NORTH,,VERNAL,UT,84078,UINTAH,(435) 789-3342,8,S_005_01_DTC_OBS_RATE,Not Available,1,10/01/2016,09/30/2018,"150 WEST 100 NORTH VERNAL, UT 84078 (40.45779, -109.530464)"
